,tanggal,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI,KASUS
0,2020-03-31,0.0,0.0,2.0,2.0,0.0,0.0,2.0,NUSA TENGGARA BARAT,2.0
0,2020-04-01,0.0,0.0,2.0,4.0,0.0,0.0,4.0,NUSA TENGGARA BARAT,2.0
0,2020-04-02,0.0,0.0,0.0,4.0,0.0,0.0,4.0,NUSA TENGGARA BARAT,0.0
0,2020-04-03,0.0,0.0,0.0,4.0,0.0,0.0,4.0,NUSA TENGGARA BARAT,0.0
0,2020-04-04,0.0,0.0,0.0,4.0,0.0,0.0,4.0,NUSA TENGGARA BARAT,0.0
0,2020-04-05,0.0,0.0,0.0,4.0,0.0,0.0,4.0,NUSA TENGGARA BARAT,0.0
0,2020-04-06,0.0,0.0,3.0,7.0,0.0,0.0,7.0,NUSA TENGGARA BARAT,3.0
0,2020-04-07,0.0,0.0,0.0,7.0,0.0,0.0,7.0,NUSA TENGGARA BARAT,0.0
0,2020-04-08,0.0,0.0,0.0,7.0,0.0,0.0,7.0,NUSA TENGGARA BARAT,0.0
0,2020-04-09,0.0,2.0,4.0,13.0,2.0,0.0,11.0,NUSA TENGGARA BARAT,6.0
0,2020-04-10,0.0,0.0,9.0,22.0,2.0,0.0,20.0,NUSA TENGGARA BARAT,9.0
0,2020-04-11,2.0,0.0,0.0,24.0,2.0,2.0,20.0,NUSA TENGGARA BARAT,2.0
0,2020-04-12,0.0,0.0,9.0,33.0,2.0,2.0,29.0,NUSA TENGGARA BARAT,9.0
0,2020-04-13,0.0,0.0,3.0,36.0,2.0,2.0,32.0,NUSA TENGGARA BARAT,3.0
0,2020-04-14,0.0,0.0,0.0,36.0,2.0,2.0,32.0,NUSA TENGGARA BARAT,0.0
0,2020-04-15,0.0,0.0,0.0,36.0,2.0,2.0,32.0,NUSA TENGGARA BARAT,0.0
0,2020-04-16,0.0,0.0,8.0,44.0,2.0,2.0,40.0,NUSA TENGGARA BARAT,8.0
0,2020-04-17,0.0,0.0,6.0,50.0,2.0,2.0,46.0,NUSA TENGGARA BARAT,6.0
0,2020-04-18,0.0,0.0,4.0,54.0,2.0,2.0,50.0,NUSA TENGGARA BARAT,4.0
0,2020-04-19,1.0,9.0,-4.0,60.0,11.0,3.0,46.0,NUSA TENGGARA BARAT,6.0
0,2020-04-20,1.0,0.0,10.0,71.0,11.0,4.0,56.0,NUSA TENGGARA BARAT,11.0
0,2020-04-21,0.0,0.0,21.0,92.0,11.0,4.0,77.0,NUSA TENGGARA BARAT,21.0
0,2020-04-22,0.0,0.0,15.0,107.0,11.0,4.0,92.0,NUSA TENGGARA BARAT,15.0
0,2020-04-23,0.0,2.0,5.0,114.0,13.0,4.0,97.0,NUSA TENGGARA BARAT,7.0
0,2020-04-24,0.0,2.0,36.0,152.0,15.0,4.0,133.0,NUSA TENGGARA BARAT,38.0
0,2020-04-25,0.0,5.0,23.0,180.0,20.0,4.0,156.0,NUSA TENGGARA BARAT,28.0
0,2020-04-26,0.0,0.0,15.0,195.0,20.0,4.0,171.0,NUSA TENGGARA BARAT,15.0
0,2020-04-27,0.0,2.0,9.0,206.0,22.0,4.0,180.0,NUSA TENGGARA BARAT,11.0
0,2020-04-28,0.0,2.0,13.0,221.0,24.0,4.0,193.0,NUSA TENGGARA BARAT,15.0
0,2020-04-29,0.0,7.0,2.0,230.0,31.0,4.0,195.0,NUSA TENGGARA BARAT,9.0
0,2020-04-30,0.0,0.0,0.0,230.0,31.0,4.0,195.0,NUSA TENGGARA BARAT,0.0
0,2020-05-01,0.0,0.0,3.0,233.0,31.0,4.0,198.0,NUSA TENGGARA BARAT,3.0
0,2020-05-02,0.0,1.0,16.0,250.0,32.0,4.0,214.0,NUSA TENGGARA BARAT,17.0
0,2020-05-03,0.0,4.0,14.0,268.0,36.0,4.0,228.0,NUSA TENGGARA BARAT,18.0
0,2020-05-04,0.0,0.0,0.0,268.0,36.0,4.0,228.0,NUSA TENGGARA BARAT,0.0
0,2020-05-05,0.0,10.0,6.0,284.0,46.0,4.0,234.0,NUSA TENGGARA BARAT,16.0
0,2020-05-06,1.0,7.0,-3.0,289.0,53.0,5.0,231.0,NUSA TENGGARA BARAT,5.0
0,2020-05-07,0.0,4.0,7.0,300.0,57.0,5.0,238.0,NUSA TENGGARA BARAT,11.0
0,2020-05-08,0.0,22.0,-10.0,312.0,79.0,5.0,228.0,NUSA TENGGARA BARAT,12.0
0,2020-05-09,1.0,7.0,10.0,330.0,86.0,6.0,238.0,NUSA TENGGARA BARAT,18.0
0,2020-05-10,0.0,5.0,-5.0,330.0,91.0,6.0,233.0,NUSA TENGGARA BARAT,0.0
0,2020-05-11,0.0,13.0,-12.0,331.0,104.0,6.0,221.0,NUSA TENGGARA BARAT,1.0
0,2020-05-12,0.0,0.0,8.0,339.0,104.0,6.0,229.0,NUSA TENGGARA BARAT,8.0
0,2020-05-13,1.0,9.0,-5.0,344.0,113.0,7.0,224.0,NUSA TENGGARA BARAT,5.0
0,2020-05-14,0.0,24.0,-18.0,350.0,137.0,7.0,206.0,NUSA TENGGARA BARAT,6.0
0,2020-05-15,0.0,50.0,-42.0,358.0,187.0,7.0,164.0,NUSA TENGGARA BARAT,8.0
0,2020-05-16,0.0,0.0,7.0,365.0,187.0,7.0,171.0,NUSA TENGGARA BARAT,7.0
0,2020-05-17,0.0,12.0,-6.0,371.0,199.0,7.0,165.0,NUSA TENGGARA BARAT,6.0
0,2020-05-18,0.0,13.0,-9.0,375.0,212.0,7.0,156.0,NUSA TENGGARA BARAT,4.0
0,2020-05-19,0.0,0.0,0.0,375.0,212.0,7.0,156.0,NUSA TENGGARA BARAT,0.0
0,2020-05-20,0.0,0.0,18.0,393.0,212.0,7.0,174.0,NUSA TENGGARA BARAT,18.0
0,2020-05-21,0.0,4.0,13.0,410.0,216.0,7.0,187.0,NUSA TENGGARA BARAT,17.0
0,2020-05-22,0.0,3.0,51.0,464.0,219.0,7.0,238.0,NUSA TENGGARA BARAT,54.0
0,2020-05-23,1.0,7.0,2.0,474.0,226.0,8.0,240.0,NUSA TENGGARA BARAT,10.0
0,2020-05-24,0.0,0.0,4.0,478.0,226.0,8.0,244.0,NUSA TENGGARA BARAT,4.0
0,2020-05-25,0.0,31.0,-31.0,478.0,257.0,8.0,213.0,NUSA TENGGARA BARAT,0.0
0,2020-05-26,0.0,0.0,10.0,488.0,257.0,8.0,223.0,NUSA TENGGARA BARAT,10.0
0,2020-05-27,1.0,14.0,34.0,537.0,271.0,9.0,257.0,NUSA TENGGARA BARAT,49.0
0,2020-05-28,1.0,1.0,23.0,562.0,272.0,10.0,280.0,NUSA TENGGARA BARAT,25.0
0,2020-05-29,0.0,3.0,25.0,590.0,275.0,10.0,305.0,NUSA TENGGARA BARAT,28.0
0,2020-05-30,0.0,3.0,1.0,594.0,278.0,10.0,306.0,NUSA TENGGARA BARAT,4.0
0,2020-05-31,0.0,12.0,30.0,636.0,290.0,10.0,336.0,NUSA TENGGARA BARAT,42.0
0,2020-06-01,0.0,1.0,15.0,652.0,291.0,10.0,351.0,NUSA TENGGARA BARAT,16.0
0,2020-06-02,2.0,0.0,16.0,670.0,291.0,12.0,367.0,NUSA TENGGARA BARAT,18.0
0,2020-06-03,1.0,5.0,9.0,685.0,296.0,13.0,376.0,NUSA TENGGARA BARAT,15.0
0,2020-06-04,4.0,2.0,14.0,705.0,298.0,17.0,390.0,NUSA TENGGARA BARAT,20.0
0,2020-06-05,3.0,0.0,49.0,757.0,298.0,20.0,439.0,NUSA TENGGARA BARAT,52.0
0,2020-06-06,1.0,12.0,28.0,798.0,310.0,21.0,467.0,NUSA TENGGARA BARAT,41.0
0,2020-06-07,0.0,14.0,-4.0,808.0,324.0,21.0,463.0,NUSA TENGGARA BARAT,10.0
0,2020-06-08,1.0,0.0,13.0,822.0,324.0,22.0,476.0,NUSA TENGGARA BARAT,14.0
0,2020-06-09,3.0,0.0,5.0,830.0,324.0,25.0,481.0,NUSA TENGGARA BARAT,8.0
0,2020-06-10,3.0,78.0,-54.0,857.0,402.0,28.0,427.0,NUSA TENGGARA BARAT,27.0
0,2020-06-11,3.0,44.0,-36.0,868.0,446.0,31.0,391.0,NUSA TENGGARA BARAT,11.0
0,2020-06-12,0.0,72.0,-49.0,891.0,518.0,31.0,342.0,NUSA TENGGARA BARAT,23.0
0,2020-06-13,2.0,20.0,-9.0,904.0,538.0,33.0,333.0,NUSA TENGGARA BARAT,13.0
